epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
176.0,0.007234363,0.07072892,0.02350732,0.006137335,0.06988433,0.02293575
177.0,0.007179841,0.07070326,0.02348287,0.006073694,0.06995953,0.02294174
178.0,0.00711852,0.07064726,0.02344732,0.006000238,0.06995766,0.02292183
179.0,0.007031224,0.0705048,0.023378,0.005922556,0.06978084,0.02284761
180.0,0.007596924,0.07068345,0.0236078,0.00642678,0.06976236,0.02297786
181.0,0.007000712,0.07041182,0.02334079,0.00584282,0.06965553,0.02278877
182.0,0.006916511,0.07023679,0.02326282,0.005795058,0.06930436,0.02266919
183.0,0.00684372,0.07002644,0.02317772,0.00576554,0.06886386,0.02252697
184.0,0.006921566,0.06984128,0.02314494,0.005846109,0.06836975,0.02239686
185.0,0.006826902,0.06974301,0.02308712,0.00575356,0.06831984,0.02235763
186.0,0.00682335,0.06964965,0.02305787,0.005745148,0.06831055,0.02235262
187.0,0.006829996,0.06951447,0.02301901,0.00574913,0.06826607,0.02234006
188.0,0.006833185,0.06933791,0.02296665,0.005758884,0.06816892,0.02231289
189.0,0.00681775,0.06904972,0.02287505,0.005758613,0.06801241,0.022265
190.0,0.006771166,0.06879401,0.02278399,0.005733943,0.06811415,0.02228973
191.0,0.006736584,0.068601,0.02271544,0.00561294,0.06794411,0.02220687
192.0,0.00668043,0.06850001,0.02266833,0.005584177,0.06785281,0.02217168
193.0,0.006695024,0.06835088,0.02262758,0.005615952,0.06766066,0.02212093
194.0,0.006702796,0.06821309,0.02258827,0.005648499,0.06748234,0.02207469
195.0,0.006742603,0.06799652,0.02253476,0.005714829,0.06722523,0.02201323
196.0,0.006762117,0.06778508,0.02247683,0.005716711,0.06694496,0.02192815
197.0,0.006818928,0.06758813,0.02243464,0.005764941,0.06676576,0.0218861
198.0,0.006890596,0.06744964,0.02241485,0.005764953,0.06665286,0.02185166
199.0,0.006821776,0.06735815,0.02236624,0.005699437,0.06661278,0.02182223
200.0,0.006789879,0.06727457,0.02233135,0.005659868,0.06660426,0.02180933
201.0,0.006768649,0.06719826,0.02230191,0.005626757,0.06659422,0.02179769
202.0,0.006752452,0.06704692,0.0222514,0.005650903,0.06647831,0.02176854
203.0,0.006779121,0.06688376,0.02221036,0.005595457,0.06611555,0.02164338
204.0,0.006728946,0.06677269,0.02216163,0.005626831,0.06604977,0.02163142
205.0,0.006723364,0.0666572,0.02212514,0.005671242,0.06593172,0.02160699
206.0,0.006725079,0.0664375,0.02205948,0.005714612,0.06566203,0.02153618
207.0,0.007632924,0.06640387,0.02234298,0.006586363,0.06553949,0.02174679
208.0,0.006750198,0.06633569,0.02203651,0.005721933,0.06555029,0.02150406
209.0,0.00673006,0.06611333,0.0219634,0.005726764,0.06524125,0.02141116
210.0,0.00670767,0.06596507,0.02191191,0.005721301,0.06501109,0.02133958
