epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
178.0,0.04525697,0.322034,0.1114396,0.04938269,0.3248038,0.1139667
179.0,0.04511484,0.3214975,0.1112269,0.04919724,0.3239967,0.1136563
180.0,0.04493451,0.3206732,0.1109155,0.04898658,0.323442,0.113407
181.0,0.04480811,0.320068,0.1106893,0.04904909,0.3224805,0.11316
182.0,0.04473334,0.3196216,0.1105299,0.04896419,0.3221824,0.1130382
183.0,0.04469229,0.3190231,0.1103403,0.04892488,0.3217339,0.1128934
184.0,0.04463576,0.3184616,0.110155,0.04885422,0.3210944,0.1126805
185.0,0.04512428,0.3180062,0.1102225,0.04913738,0.3195112,0.1123531
186.0,0.04467062,0.3178187,0.1099833,0.04879652,0.3199154,0.1123196
187.0,0.04450762,0.3169659,0.1096707,0.0486242,0.3184483,0.1118269
188.0,0.04443239,0.3164961,0.1095044,0.04848477,0.3176339,0.1115343
189.0,0.04429093,0.3159718,0.1092955,0.04834259,0.3168507,0.1112495
190.0,0.0443796,0.3157501,0.1092674,0.04825137,0.3165837,0.1111338
191.0,0.04414916,0.3155864,0.1091267,0.04819221,0.3165787,0.1111067
192.0,0.04405233,0.3154494,0.1090479,0.04820795,0.3167322,0.1111573
193.0,0.04394377,0.3152443,0.1089447,0.04818911,0.3168495,0.1111825
194.0,0.04385129,0.3147429,0.1087623,0.04823829,0.3168969,0.1112173
195.0,0.04374137,0.3142638,0.1085794,0.04810511,0.3164704,0.1110381
196.0,0.04370165,0.3138224,0.1084356,0.04803096,0.3157796,0.1108091
197.0,0.04375674,0.3133218,0.108313,0.04800192,0.3147955,0.1105161
198.0,0.04383096,0.3128967,0.1082201,0.04792908,0.3139607,0.1102467
199.0,0.04373195,0.3124645,0.108055,0.04779181,0.31313,0.1099504
200.0,0.04355806,0.3121158,0.1078839,0.0476807,0.312679,0.1097737
201.0,0.04343675,0.3116148,0.10769,0.04754602,0.3120395,0.109533
202.0,0.04319514,0.311343,0.107514,0.04732015,0.3118647,0.1093854
203.0,0.04307053,0.3110062,0.1073665,0.04715797,0.3116284,0.1092479
204.0,0.04300786,0.3107008,0.1072529,0.0470402,0.3112948,0.1091019
205.0,0.04290966,0.3098413,0.1069645,0.04689815,0.3103446,0.1087695
206.0,0.04339189,0.3096619,0.107107,0.04702255,0.3098797,0.1086907
207.0,0.04286139,0.3094809,0.1068407,0.04672159,0.3099038,0.1085677
208.0,0.04280826,0.3090825,0.106704,0.04671033,0.309539,0.1084587
209.0,0.04276034,0.3087607,0.1065916,0.04674995,0.3093527,0.1084226
210.0,0.04272515,0.3083857,0.1064688,0.04680391,0.3092141,0.1084064
211.0,0.04272538,0.3077665,0.1062896,0.04692696,0.3092113,0.1084588
212.0,0.042678,0.3074773,0.1061868,0.04695363,0.3092029,0.1084679
213.0,0.04261394,0.3073208,0.1061158,0.04679955,0.3089358,0.1083251
214.0,0.04255829,0.3071444,0.1060423,0.04667995,0.3086618,0.1081953
215.0,0.04249777,0.3069247,0.1059544,0.04659998,0.3083942,0.1080845
216.0,0.04240412,0.3064651,0.1057837,0.0464826,0.3079996,0.1079213
217.0,0.0422935,0.3064436,0.1057332,0.04668227,0.3083883,0.1081183
